task_id,family,model,no_skill,binding_only,matched_near,matched_far,lure_near,lure_far,primary_delta,causal_delta
json_2.1.1/valid_seen/look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790/game.tw-pddl,look_at_obj_in_light,qwen3_4b,1,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-CD-None-DeskLamp-320/trial_T20190907_224451_655673/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-CD-None-DeskLamp-320/trial_T20190907_224451_655673/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-CD-None-DeskLamp-320/trial_T20190907_224451_655673/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-KeyChain-None-DeskLamp-327/trial_T20190906_202601_548273/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,1,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-KeyChain-None-DeskLamp-327/trial_T20190906_202601_548273/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-KeyChain-None-DeskLamp-327/trial_T20190906_202601_548273/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,0,1,1,0,0,1,1
